type,ctc_c,u6_bonus,ps,decile,mean,pc_aftertaxinc,metr_reform
Nonref,3500,1000,CL,0-10,1836,40.2,-32.4
Nonref,3500,1000,CL,20-Oct,5671,42.7,-16.7
Nonref,3500,1000,CL,20-30,6525,31.1,4
Nonref,3500,1000,CL,30-40,5995,19.6,12.3
Nonref,3500,1000,CL,40-50,5403,12.9,10.2
Nonref,3500,1000,CL,50-60,6028,10.8,6.8
Nonref,3500,1000,CL,60-70,6639,9,11.7
Nonref,3500,1000,CL,70-80,6766,6.8,17.4
Nonref,3500,1000,CL,80-90,6440,4.8,20.4
Nonref,3500,1000,CL,90-95,6373,3.3,21.3
Nonref,3500,1000,CL,95-99,4435,1.3,26.3
Nonref,3500,1000,CL,Top 1%,350,0,28.6
Nonref,3500,1000,CL,ALL,5865,7.3,6.9
Nonref,3500,1000,NO,0-10,1837,40.3,-32.4
Nonref,3500,1000,NO,20-Oct,5671,42.7,-16.7
Nonref,3500,1000,NO,20-30,6525,31.1,4
Nonref,3500,1000,NO,30-40,5995,19.6,12.3
Nonref,3500,1000,NO,40-50,5403,12.9,10.2
Nonref,3500,1000,NO,50-60,6028,10.8,6.8
Nonref,3500,1000,NO,60-70,6639,9,11.7
Nonref,3500,1000,NO,70-80,6767,6.8,17.4
Nonref,3500,1000,NO,80-90,6441,4.8,20.4
Nonref,3500,1000,NO,90-95,6381,3.3,21.3
Nonref,3500,1000,NO,95-99,6469,1.9,25.2
Nonref,3500,1000,NO,Top 1%,6804,0.5,28.6
Nonref,3500,1000,NO,ALL,5998,7.5,6.8
Nonref,3500,1000,PT,0-10,1833,40.2,-32.4
Nonref,3500,1000,PT,20-Oct,5670,42.7,-16.7
Nonref,3500,1000,PT,20-30,6524,31.1,4
Nonref,3500,1000,PT,30-40,5993,19.5,12.3
Nonref,3500,1000,PT,40-50,5401,12.9,10.2
Nonref,3500,1000,PT,50-60,6027,10.8,6.9
Nonref,3500,1000,PT,60-70,6598,8.9,12.3
Nonref,3500,1000,PT,70-80,6226,6.3,20.6
Nonref,3500,1000,PT,80-90,3983,3,24.8
Nonref,3500,1000,PT,90-95,1316,0.7,23.5
Nonref,3500,1000,PT,95-99,346,0.1,25.4
Nonref,3500,1000,PT,Top 1%,206,0,28.6
Nonref,3500,1000,PT,ALL,5199,6.5,7.7
Refund,2000,0,CL,0-10,4613,101.1,-24.2
Refund,2000,0,CL,20-Oct,7361,55.4,-8.7
Refund,2000,0,CL,20-30,7494,35.7,12.2
Refund,2000,0,CL,30-40,6063,19.8,20.8
Refund,2000,0,CL,40-50,4392,10.5,19.2
Refund,2000,0,CL,50-60,3801,6.8,11.3
Refund,2000,0,CL,60-70,3877,5.2,12.6
Refund,2000,0,CL,70-80,3821,3.9,17.6
Refund,2000,0,CL,80-90,3587,2.7,20.5
Refund,2000,0,CL,90-95,3519,1.8,21.3
Refund,2000,0,CL,95-99,2236,0.7,25.8
Refund,2000,0,CL,Top 1%,247,0,28.6
Refund,2000,0,CL,ALL,5047,6.3,11.8
Refund,2000,0,NO,0-10,4613,101.1,-24.2
Refund,2000,0,NO,20-Oct,7361,55.4,-8.7
Refund,2000,0,NO,20-30,7495,35.7,12.2
Refund,2000,0,NO,30-40,6063,19.8,20.8
Refund,2000,0,NO,40-50,4392,10.5,19.2
Refund,2000,0,NO,50-60,3801,6.8,11.3
Refund,2000,0,NO,60-70,3877,5.2,12.6
Refund,2000,0,NO,70-80,3822,3.9,17.6
